Description,Step,Type,Table,Out Col,In Col,Func
Recode mandatory tour length district,step_6,replace,mandTripLengths,District,District,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
Recode mandatory tour length district,step_6,replace,mandTLFD_et,District,District,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
Recode mandatory tour length district,step_6,replace,mandTripLengths_et,District,District,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
#,,,,,,
Recode time period,step_6,apply,todProfile_vis,period,period,lambda x: (0.5*x+2.75) % 24
Recode time period,step_6,apply,tripDeparture_vis,stop_period,depart,lambda x: (0.5*x+2.75) % 24
Recode time period,step_6,apply,stopDeparture_vis,stop_period,depart,lambda x: (0.5*x+2.75) % 24
Recode tour duration,step_6,apply,tourDuration,tourdur,tourdur,lambda x: 0.5*x
#,,,,,,
Recode daily activity pattern,step_6,replace,dapSummary_vis,activity_pattern,activity_pattern,"{'H': 'Home', 'M': 'Mandatory', 'N': 'Non-Mandatory'}"
#,,,,,,
,step_6,apply,todProfile_vis,period,period,lambda x: ((x-3)%24)+3
,step_6,apply,stopDeparture_vis,stop_period,stop_period,lambda x: ((x-3)%24)+3
,step_6,apply,tripDeparture_vis,stop_period,stop_period,lambda x: ((x-3)%24)+3
#,,,,,,
Bin tour TOD profile into assignment time periods,step_6,bin,todProfile_vis,skim_period,period,"[3, 6, 9, 15.5, 19, 27]"
Bin tour TOD profile into assignment time periods,step_6,apply,todProfile_vis,skim_period,skim_period,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Bin tour TOD profile into assignment time periods,step_6,replace,todProfile_vis,skim_period,skim_period,"{6: '1: EA', 9: '2: AM', 15: '3: MD', 19: '4: PM', 27: '5: EV'}"
Bin stop TOD profile into assignment time periods,step_6,bin,stopDeparture_vis,stop_skim_period,stop_period,"[3, 6, 9, 15.5, 19, 27]"
Bin stop TOD profile into assignment time periods,step_6,apply,stopDeparture_vis,stop_skim_period,stop_skim_period,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Bin stop TOD profile into assignment time periods,step_6,replace,stopDeparture_vis,stop_skim_period,stop_skim_period,"{6: '1: EA', 9: '2: AM', 15: '3: MD', 19: '4: PM', 27: '5: EV'}"
Bin trip TOD profile into assignment time periods,step_6,bin,tripDeparture_vis,stop_skim_period,stop_period,"[3, 6, 9, 15.5, 19, 27]"
Bin trip TOD profile into assignment time periods,step_6,apply,tripDeparture_vis,stop_skim_period,stop_skim_period,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Bin trip TOD profile into assignment time periods,step_6,replace,tripDeparture_vis,stop_skim_period,stop_skim_period,"{6: '1: EA', 9: '2: AM', 15: '3: MD', 19: '4: PM', 27: '5: EV'}"
#,,,,,,
Remove column depart from stopDeparture_vis,step_6,raw,,,,del stopDeparture_vis['depart']
Remove column depart from tripDeparture_vis,step_6,raw,,,,del tripDeparture_vis['depart']
#,,,,,,
Rename escort type column,step_6,rename,esctype_by_childtype,,,"{'level_0': 'esc_type', 'person_type': 'child_type'}"
Rename escort type column,step_6,rename,esctype_by_chauffeurtype,,,"{'level_0': 'esc_type', 'level_1': 'chauffeur'}"
Recode person type,step_6,replace,esctype_by_chauffeurtype,chauffeur,chauffeur,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,esctype_by_childtype,child_type,child_type,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
#,,,,,,
Recode person type,step_6,replace,esctype_by_childtype,esc_type,esc_type,"{'': 'No Escort', 'ride_share': 'Ride Share', 'pure_escort': 'Pure Escort'}"
Recode person type,step_6,replace,esctype_by_chauffeurtype,esc_type,esc_type,"{'': 'No Escort', 'ride_share': 'Ride Share', 'pure_escort': 'Pure Escort'}"
Recode in escort type,step_6,replace,worker_school_escorting,inb_escort_type,inb_escort_type,"{0: 'No Escort', 1: 'Ride Share', 2: 'Pure Escort', 3: 'No Escort'}"
Recode out escort type,step_6,replace,worker_school_escorting,out_escort_type,out_escort_type,"{0: 'No Escort', 1: 'Ride Share', 2: 'Pure Escort', 3: 'No Escort'}"
